Target_Language,Comparison_Language,Distance,Similarity_Bin
STANDARD_ARABIC,BULGARIAN,0.921052631578947,Somewhat Similar
STANDARD_ARABIC,DUTCH,0.932203389830508,Least Similar
STANDARD_ARABIC,FRENCH,0.941860465116279,Least Similar
STANDARD_ARABIC,STANDARD_GERMAN,0.929347826086957,Somewhat Similar
STANDARD_ARABIC,GREEK,0.934343434343434,Least Similar
STANDARD_ARABIC,MALTESE,0.680851063829787,Most Similar
STANDARD_ARABIC,HEBREW,0.765714285714286,Most Similar
STANDARD_ARABIC,HINDI,0.931428571428571,Least Similar
STANDARD_ARABIC,INDONESIAN,0.92972972972973,Somewhat Similar
STANDARD_ARABIC,ITALIAN,0.913705583756345,Somewhat Similar
STANDARD_ARABIC,MARATHI,0.93010752688172,Least Similar
STANDARD_ARABIC,PORTUGUESE,0.925531914893617,Somewhat Similar
STANDARD_ARABIC,TAMIL,0.916666666666667,Somewhat Similar
STANDARD_ARABIC,TURKISH,0.906862745098039,Most Similar
STANDARD_ARABIC,TWI_ASANTE,0.936416184971098,Least Similar
STANDARD_ARABIC,GEORGIAN,0.894736842105263,Most Similar
STANDARD_ARABIC,HUNGARIAN,0.941176470588235,Least Similar
STANDARD_ARABIC,POLISH,0.912371134020619,Most Similar
STANDARD_ARABIC,AZERBAIJANI_NORTH,0.879120879120879,Most Similar
STANDARD_ARABIC,UKRAINIAN,0.920634920634921,Somewhat Similar
STANDARD_ARABIC,RUSSIAN,0.908675799086758,Most Similar
STANDARD_ARABIC,ROMANIAN,0.888297872340426,Most Similar
STANDARD_ARABIC,DANISH,0.905555555555556,Most Similar
STANDARD_ARABIC,SPANISH,0.939393939393939,Least Similar
STANDARD_ARABIC,MANDARIN,0.95852534562212,Least Similar
STANDARD_ARABIC,CZECH,0.914893617021277,Somewhat Similar
BULGARIAN,STANDARD_ARABIC,0.921052631578947,Least Similar
BULGARIAN,DUTCH,0.863387978142076,Somewhat Similar
BULGARIAN,FRENCH,0.865591397849462,Somewhat Similar
BULGARIAN,STANDARD_GERMAN,0.860824742268041,Somewhat Similar
BULGARIAN,GREEK,0.856481481481482,Somewhat Similar
BULGARIAN,MALTESE,0.886699507389163,Somewhat Similar
BULGARIAN,HEBREW,0.928934010152284,Least Similar
BULGARIAN,HINDI,0.850267379679144,Most Similar
BULGARIAN,INDONESIAN,0.902439024390244,Least Similar
BULGARIAN,ITALIAN,0.799043062200957,Most Similar
BULGARIAN,MARATHI,0.922680412371134,Least Similar
BULGARIAN,PORTUGUESE,0.853535353535353,Most Similar
BULGARIAN,TAMIL,0.899038461538462,Somewhat Similar
BULGARIAN,TURKISH,0.912844036697248,Least Similar
BULGARIAN,TWI_ASANTE,0.915343915343915,Least Similar
BULGARIAN,GEORGIAN,0.9125,Least Similar
BULGARIAN,HUNGARIAN,0.890710382513661,Somewhat Similar
BULGARIAN,POLISH,0.620111731843575,Most Similar
BULGARIAN,AZERBAIJANI_NORTH,0.928205128205128,Least Similar
BULGARIAN,UKRAINIAN,0.612903225806452,Most Similar
BULGARIAN,RUSSIAN,0.629807692307692,Most Similar
BULGARIAN,ROMANIAN,0.819095477386935,Most Similar
BULGARIAN,DANISH,0.887700534759358,Somewhat Similar
BULGARIAN,SPANISH,0.84688995215311,Most Similar
BULGARIAN,MANDARIN,0.916666666666667,Least Similar
BULGARIAN,CZECH,0.631901840490798,Most Similar
DUTCH,STANDARD_ARABIC,0.932203389830508,Least Similar
DUTCH,BULGARIAN,0.863387978142076,Most Similar
DUTCH,FRENCH,0.862275449101796,Most Similar
DUTCH,STANDARD_GERMAN,0.510204081632653,Most Similar
DUTCH,GREEK,0.892682926829268,Somewhat Similar
DUTCH,MALTESE,0.928205128205128,Least Similar
DUTCH,HEBREW,0.903954802259887,Least Similar
DUTCH,HINDI,0.844311377245509,Most Similar
DUTCH,INDONESIAN,0.916666666666667,Least Similar
DUTCH,ITALIAN,0.818627450980392,Most Similar
DUTCH,MARATHI,0.864864864864865,Most Similar
DUTCH,PORTUGUESE,0.875675675675676,Somewhat Similar
DUTCH,TAMIL,0.883248730964467,Somewhat Similar
DUTCH,TURKISH,0.952153110047847,Least Similar
DUTCH,TWI_ASANTE,0.943820224719101,Least Similar
DUTCH,GEORGIAN,0.947136563876652,Least Similar
DUTCH,HUNGARIAN,0.901234567901235,Somewhat Similar
DUTCH,POLISH,0.881720430107527,Somewhat Similar
DUTCH,AZERBAIJANI_NORTH,0.916666666666667,Least Similar
DUTCH,UKRAINIAN,0.871657754010695,Somewhat Similar
DUTCH,RUSSIAN,0.903225806451613,Somewhat Similar
DUTCH,ROMANIAN,0.825396825396825,Most Similar
DUTCH,DANISH,0.639240506329114,Most Similar
DUTCH,SPANISH,0.852040816326531,Most Similar
DUTCH,MANDARIN,0.929577464788732,Least Similar
DUTCH,CZECH,0.867403314917127,Somewhat Similar
FRENCH,STANDARD_ARABIC,0.941860465116279,Least Similar
FRENCH,BULGARIAN,0.865591397849462,Somewhat Similar
FRENCH,DUTCH,0.862275449101796,Most Similar
FRENCH,STANDARD_GERMAN,0.886486486486487,Somewhat Similar
FRENCH,GREEK,0.853658536585366,Most Similar
FRENCH,MALTESE,0.907216494845361,Least Similar
FRENCH,HEBREW,0.867403314917127,Somewhat Similar
FRENCH,HINDI,0.853146853146853,Most Similar
FRENCH,INDONESIAN,0.90748031496063,Least Similar
FRENCH,ITALIAN,0.696517412935323,Most Similar
FRENCH,MARATHI,0.856382978723404,Most Similar
FRENCH,PORTUGUESE,0.686170212765957,Most Similar
FRENCH,TAMIL,0.892996108949416,Somewhat Similar
FRENCH,TURKISH,0.905769230769231,Least Similar
FRENCH,TWI_ASANTE,0.916666666666667,Least Similar
FRENCH,GEORGIAN,0.939655172413793,Least Similar
FRENCH,HUNGARIAN,0.926503340757238,Least Similar
FRENCH,POLISH,0.873684210526316,Somewhat Similar
FRENCH,AZERBAIJANI_NORTH,0.966480446927374,Least Similar
FRENCH,UKRAINIAN,0.869791666666667,Somewhat Similar
FRENCH,RUSSIAN,0.875,Somewhat Similar
FRENCH,ROMANIAN,0.71505376344086,Most Similar
FRENCH,DANISH,0.871345029239766,Somewhat Similar
FRENCH,SPANISH,0.754318618042226,Most Similar
FRENCH,MANDARIN,0.934046345811052,Least Similar
FRENCH,CZECH,0.852459016393443,Most Similar
STANDARD_GERMAN,STANDARD_ARABIC,0.929347826086957,Least Similar
STANDARD_GERMAN,BULGARIAN,0.860824742268041,Most Similar
STANDARD_GERMAN,DUTCH,0.510204081632653,Most Similar
STANDARD_GERMAN,FRENCH,0.886486486486487,Somewhat Similar
STANDARD_GERMAN,GREEK,0.900943396226415,Somewhat Similar
STANDARD_GERMAN,MALTESE,0.940886699507389,Least Similar
STANDARD_GERMAN,HEBREW,0.904761904761905,Least Similar
STANDARD_GERMAN,HINDI,0.832432432432432,Most Similar
STANDARD_GERMAN,INDONESIAN,0.91,Least Similar
STANDARD_GERMAN,ITALIAN,0.838862559241706,Most Similar
STANDARD_GERMAN,MARATHI,0.888888888888889,Somewhat Similar
